fold,target_port,role,product_id,acquisition_date
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250217T055839_20250217T055904_057932_0725F5_9F4A,20250217
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,20250219
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,20250220
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250222T224810_20250222T224835_058015_072961_178E,20250222
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,20250225
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,20250226
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250306T224811_20250306T224836_058190_07308D_CDA9,20250306
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250309T083110_20250309T083139_058225_0731F2_0C8F,20250309
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,20250315
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,20250316
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,20250317
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,20250317
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250318T224811_20250318T224836_058365_073771_B1C2,20250318
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,20250321
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250327T163005_20250327T163030_058492_073C79_EAA7,20250327
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,20250328
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250330T224811_20250330T224836_058540_073E75_9F1A,20250330
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250411T224811_20250411T224836_058715_07459E_9525,20250411
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,20250418
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,20250421
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,20250422
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,20250422
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250423T224811_20250423T224836_058890_074CC9_8953,20250423
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250502T163006_20250502T163031_059017_0751E2_680E,20250502
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250504T035237_20250504T035302_059039_0752BC_810D,20250504
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250504T095504_20250504T095529_059043_0752E1_E126,20250504
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250505T224811_20250505T224836_059065_0753C1_B8EA,20250505
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250508T141655_20250508T141720_059104_07553F_D9D1,20250508
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,20250514
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250515T153905_20250515T153934_059206_0758C3_2241,20250515
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250516T035237_20250516T035302_059214_07590C_1B74,20250516
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250516T095504_20250516T095529_059218_07592B_0FC8,20250516
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250526T163005_20250526T163030_059367_075E5F_4FCB,20250526
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250527T153905_20250527T153934_059381_075EDC_EE48,20250527
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250528T035236_20250528T035301_059389_075F25_EDE8,20250528
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250528T095503_20250528T095528_059393_075F43_DC80,20250528
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250528T103937_20250528T104002_059393_075F48_4EAF,20250528
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250607T163005_20250607T163030_059542_076467_C24A,20250607
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250609T035235_20250609T035300_059564_07651D_4100,20250609
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250609T095503_20250609T095528_059568_07653B_1E66,20250609
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250609T112534_20250609T112559_059568_076545_1D7F,20250609
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250619T163004_20250619T163029_059717_076A60_94E5,20250619
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F,20250619
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250620T153903_20250620T153932_059731_076AE1_A027,20250620
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250621T035235_20250621T035300_059739_076B27_C979,20250621
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250621T095502_20250621T095527_059743_076B46_2434,20250621
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250702T153903_20250702T153932_059906_0770FC_6D94,20250702
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250703T035234_20250703T035259_059914_077140_7BD6,20250703
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982,20250703
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250711T055837_20250711T055902_060032_077547_699B,20250711
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250713T163003_20250713T163028_060067_07767F_5920,20250713
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250714T153902_20250714T153931_060081_0776FF_25DB,20250714
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250715T035234_20250715T035259_060089_077743_FB08,20250715
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250715T095501_20250715T095526_060093_077760_4889,20250715
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250715T112532_20250715T112557_060093_07776A_62D2,20250715
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250716T233423_20250716T233448_060115_077824_E5F7,20250716
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250725T163002_20250725T163027_060242_077C8C_6445,20250725
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250726T153902_20250726T153931_060256_077D04_0826,20250726
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250727T035233_20250727T035258_060264_077D47_F0A8,20250727
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250727T095501_20250727T095526_060268_077D68_FED2,20250727
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250728T233423_20250728T233448_060290_077E28_8D35,20250728
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250731T141651_20250731T141716_060329_077F80_00CD,20250731
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18,20250806
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250808T035233_20250808T035258_060439_078370_CD54,20250808
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250808T095500_20250808T095525_060443_078391_5813,20250808
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250809T233423_20250809T233448_060465_07847A_0D09,20250809
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250812T092320_20250812T092349_060501_0785D8_D733,20250812
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250819T153902_20250819T153931_060606_078A07_42F0,20250819
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250820T035233_20250820T035258_060614_078A53_5450,20250820
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250820T095500_20250820T095525_060618_078A74_9040,20250820
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250821T224808_20250821T224833_060640_078B59_E798,20250821
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250831T153902_20250831T153931_060781_0790EA_0B81,20250831
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250901T035233_20250901T035258_060789_079136_B324,20250901
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250902T224808_20250902T224833_060815_079241_9713,20250902
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250902T233423_20250902T233448_060815_079246_B71C,20250902
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250909T055837_20250909T055902_060907_0795EC_8CC1,20250909
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250911T163003_20250911T163028_060942_079755_9E0D,20250911
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250912T153902_20250912T153931_060956_0797E9_52CC,20250912
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250913T035234_20250913T035259_060964_079836_C838,20250913
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250913T095501_20250913T095526_060968_07985B_0B8B,20250913
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250914T224808_20250914T224833_060990_079946_63DA,20250914
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250917T141651_20250917T141716_061029_079AD4_BEB1,20250917
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250924T153902_20250924T153931_061131_079EEF_95D2,20250924
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250925T035234_20250925T035259_061139_079F3E_697B,20250925
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250925T095501_20250925T095526_061143_079F62_43F4,20250925
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20250926T224808_20250926T224833_061165_07A04B_FD27,20250926
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251006T153903_20251006T153932_061306_07A5FE_9B54,20251006
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251007T035234_20251007T035259_061314_07A64B_B254,20251007
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251007T095502_20251007T095527_061318_07A66F_9734,20251007
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251008T224809_20251008T224834_061340_07A75B_C1A5,20251008
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251011T141652_20251011T141717_061379_07A8EC_6D05,20251011
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251017T054129_20251017T054154_061461_07AC2A_79B6,20251017
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33,20251017
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251018T153903_20251018T153932_061481_07AD03_B243,20251018
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251019T035234_20251019T035259_061489_07AD50_1AB6,20251019
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251019T095501_20251019T095526_061493_07AD75_C893,20251019
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251020T224808_20251020T224833_061515_07AE62_BC0B,20251020
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251023T141652_20251023T141717_061554_07AFF4_3310,20251023
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251026T020728_20251026T020753_061590_07B161_3CC3,20251026
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251027T055837_20251027T055902_061607_07B211_E251,20251027
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251029T054128_20251029T054153_061636_07B333_88A6,20251029
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142,20251029
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251030T153902_20251030T153931_061656_07B411_FB08,20251030
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251031T095501_20251031T095526_061668_07B482_E582,20251031
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251101T224808_20251101T224833_061690_07B564_1AD8,20251101
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251101T233423_20251101T233448_061690_07B569_16F6,20251101
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077,20251110
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251112T035233_20251112T035258_061839_07BB21_91CA,20251112
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251112T095500_20251112T095525_061843_07BB43_791B,20251112
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251113T224807_20251113T224832_061865_07BC26_8BE5,20251113
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251120T055836_20251120T055901_061957_07BFB6_DC2D,20251120
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251122T054127_20251122T054152_061986_07C0D6_F7BE,20251122
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251124T035232_20251124T035257_062014_07C1F4_0DB0,20251124
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251124T095500_20251124T095525_062018_07C214_828E,20251124
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251125T224806_20251125T224831_062040_07C2F5_5BFA,20251125
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,20251126
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251202T055835_20251202T055900_062132_07C68A_27C0,20251202
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251204T054126_20251204T054151_062161_07C7AC_F97F,20251204
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85,20251204
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251206T035231_20251206T035256_062189_07C8C7_B4B3,20251206
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251206T095458_20251206T095523_062193_07C8EB_18F6,20251206
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251207T224805_20251207T224830_062215_07C9D3_13F1,20251207
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251214T055834_20251214T055859_062307_07CD62_B45A,20251214
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251216T054125_20251216T054150_062336_07CE83_4CC7,20251216
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251216T162959_20251216T163024_062342_07CECD_EF29,20251216
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251218T035230_20251218T035255_062364_07CF9A_DF33,20251218
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251218T095457_20251218T095522_062368_07CFBE_85B2,20251218
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251219T224804_20251219T224829_062390_07D0A3_DC5F,20251219
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251222T141647_20251222T141712_062429_07D225_B5FC,20251222
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251223T181816_20251223T181841_062446_07D2CE_C333,20251223
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251226T055832_20251226T055857_062482_07D430_A244,20251226
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251228T054123_20251228T054148_062511_07D550_B09A,20251228
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251230T035229_20251230T035254_062539_07D665_2BBB,20251230
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009,20251230
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251230T095456_20251230T095521_062543_07D685_E32F,20251230
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20251231T224803_20251231T224828_062565_07D762_CEEB,20251231
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1A_IW_GRDH_1SDV_20260224T055828_20260224T055853_063357_07F51A_CAA5,20260224
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250414T015728_20250414T015809_001883_0039AF_C154,20250414
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250526T083012_20250526T083037_002499_00535A_A7A9,20250526
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250607T083013_20250607T083038_002674_005863_339E,20250607
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250619T083013_20250619T083038_002849_005D71_762B,20250619
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250713T083015_20250713T083040_003199_006788_CF0A,20250713
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250725T083016_20250725T083041_003374_006C9F_DCD2,20250725
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250802T103843_20250802T103908_003492_00701B_89A1,20250802
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250803T233313_20250803T233338_003514_0070C0_6937,20250803
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250806T083016_20250806T083041_003549_0071C1_63F3,20250806
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0,20250813
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250824T054027_20250824T054052_003810_0079A1_4DF0,20250824
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250827T233314_20250827T233339_003864_007B3B_3B7B,20250827
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250905T054027_20250905T054052_003985_007ED9_EA5D,20250905
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250917T054028_20250917T054053_004160_00842D_7E1A,20250917
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250920T030348_20250920T030413_004202_008573_E1A5,20250920
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250920T031050_20250920T031118_004202_008574_3319,20250920
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250923T083018_20250923T083043_004249_0086DF_07F5,20250923
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20250929T054028_20250929T054053_004335_008987_A32B,20250929
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251002T031050_20251002T031117_004377_008ACD_BFF1,20251002
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251005T083018_20251005T083043_004424_008C38_8E9B,20251005
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251011T054028_20251011T054053_004510_008ED9_EBA7,20251011
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251017T083018_20251017T083043_004599_009184_9E4E,20251017
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251023T054028_20251023T054053_004685_009421_38F8,20251023
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251026T030348_20251026T030413_004727_009566_6FE4,20251026
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251104T054028_20251104T054053_004860_0099AE_A2F9,20251104
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251107T030348_20251107T030413_004902_009B16_327F,20251107
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251110T083017_20251110T083042_004949_009CA9_3A13,20251110
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251116T054027_20251116T054052_005035_009F87_5F14,20251116
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251119T031050_20251119T031117_005077_00A0F4_F122,20251119
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251128T054027_20251128T054052_005210_00A568_4CE6,20251128
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251201T030347_20251201T030412_005252_00A6CF_3A0E,20251201
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251204T083017_20251204T083042_005299_00A86E_347C,20251204
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251210T054026_20251210T054051_005385_00AB6C_2021,20251210
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251213T233313_20251213T233338_005439_00AD3E_36D0,20251213
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251216T083016_20251216T083041_005474_00AE73_758D,20251216
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251222T054026_20251222T054051_005560_00B165_BF35,20251222
Antwerp-Bruges,Antwerp-Bruges,source_fit,S1C_IW_GRDH_1SDV_20251228T083015_20251228T083040_005649_00B479_86EE,20251228
