port,product,pol,date,role,objects
Jebel Ali,S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,VH,2025-03-26,adapt,854
Jebel Ali,S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,VH,2025-04-07,adapt,850
Jebel Ali,S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,VH,2025-04-10,adapt,730
Jebel Ali,S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,VH,2025-04-19,adapt,874
Jebel Ali,S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,VH,2025-05-01,adapt,848
Jebel Ali,S1A_IW_GRDH_1SDV_20250513T142506_20250513T142531_059177_0757CB_F25B,VH,2025-05-13,adapt,843
Jebel Ali,S1A_IW_GRDH_1SDV_20250525T142506_20250525T142531_059352_075DD8_6C78,VH,2025-05-25,adapt,864
Jebel Ali,S1A_IW_GRDH_1SDV_20250606T142505_20250606T142530_059527_0763E5_967B,VH,2025-06-06,adapt,849
Jebel Ali,S1A_IW_GRDH_1SDV_20250609T021544_20250609T021608_059563_076513_C2E0,VH,2025-06-09,adapt,766
Jebel Ali,S1A_IW_GRDH_1SDV_20250618T142504_20250618T142529_059702_0769DE_8658,VH,2025-06-18,adapt,849
Jebel Ali,S1A_IW_GRDH_1SDV_20250621T021544_20250621T021607_059738_076B1D_2523,VH,2025-06-21,adapt,731
Jebel Ali,S1A_IW_GRDH_1SDV_20250630T142504_20250630T142529_059877_076FF7_ED71,VH,2025-06-30,adapt,868
Jebel Ali,S1A_IW_GRDH_1SDV_20250715T021542_20250715T021606_060088_077739_3740,VH,2025-07-15,adapt,740
Jebel Ali,S1A_IW_GRDH_1SDV_20250724T142503_20250724T142528_060227_077C09_9CBA,VH,2025-07-24,eval,875
Jebel Ali,S1A_IW_GRDH_1SDV_20250805T142503_20250805T142528_060402_078207_9714,VH,2025-08-05,eval,883
Jebel Ali,S1A_IW_GRDH_1SDV_20250817T142503_20250817T142528_060577_0788DF_80F4,VH,2025-08-17,eval,873
Jebel Ali,S1A_IW_GRDH_1SDV_20250829T142503_20250829T142528_060752_078FC4_CDEA,VH,2025-08-29,eval,845
Jebel Ali,S1A_IW_GRDH_1SDV_20250901T021542_20250901T021605_060788_07912C_0086,VH,2025-09-01,eval,727
Jebel Ali,S1A_IW_GRDH_1SDV_20250910T142503_20250910T142528_060927_0796BD_18EC,VH,2025-09-10,eval,881
Jebel Ali,S1A_IW_GRDH_1SDV_20250922T142504_20250922T142529_061102_079DC2_7207,VH,2025-09-22,eval,880
Jebel Ali,S1A_IW_GRDH_1SDV_20250925T021543_20250925T021606_061138_079F34_4E55,VH,2025-09-25,eval,733
Jebel Ali,S1A_IW_GRDH_1SDV_20251004T142503_20251004T142528_061277_07A4D4_B04D,VH,2025-10-04,eval,890
Jebel Ali,S1A_IW_GRDH_1SDV_20251016T142504_20251016T142529_061452_07ABDD_BF78,VH,2025-10-16,eval,854
Jebel Ali,S1A_IW_GRDH_1SDV_20251028T142503_20251028T142528_061627_07B2E5_AF8B,VH,2025-10-28,eval,922
Jebel Ali,S1A_IW_GRDH_1SDV_20251109T142503_20251109T142528_061802_07B9BD_1AE4,VH,2025-11-09,eval,873
Jebel Ali,S1A_IW_GRDH_1SDV_20251121T142503_20251121T142528_061977_07C08B_B3BC,VH,2025-11-21,eval,853
Jebel Ali,S1A_IW_GRDH_1SDV_20251203T142501_20251203T142526_062152_07C75E_D213,VH,2025-12-03,eval,898
Jebel Ali,S1A_IW_GRDH_1SDV_20251206T021540_20251206T021603_062188_07C8BF_E0FB,VH,2025-12-06,eval,740
Jebel Ali,S1A_IW_GRDH_1SDV_20251215T142500_20251215T142525_062327_07CE36_F264,VH,2025-12-15,eval,828
Jebel Ali,S1A_IW_GRDH_1SDV_20251227T142459_20251227T142524_062502_07D505_24C1,VH,2025-12-27,eval,953
Jebel Ali,S1C_IW_GRDH_1SDV_20250814T021436_20250814T021501_003662_00752F_F0F2,VH,2025-08-14,eval,772
Jebel Ali,S1C_IW_GRDH_1SDV_20251013T021438_20251013T021503_004537_008FA6_7629,VH,2025-10-13,eval,838
Jebel Ali,S1C_IW_GRDH_1SDV_20251025T021438_20251025T021503_004712_0094F6_EC36,VH,2025-10-25,eval,782
Jebel Ali,S1C_IW_GRDH_1SDV_20251106T021437_20251106T021502_004887_009A94_6EF3,VH,2025-11-06,eval,790
Jebel Ali,S1C_IW_GRDH_1SDV_20251130T021436_20251130T021501_005237_00A653_4A11,VH,2025-11-30,eval,784
Jebel Ali,S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,VV,2025-01-01,adapt,847
Jebel Ali,S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,VV,2025-01-04,adapt,697
Jebel Ali,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,VV,2025-01-13,adapt,1012
Jebel Ali,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,VV,2025-01-25,adapt,1489
Jebel Ali,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,VV,2025-02-06,adapt,1126
Jebel Ali,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,VV,2025-02-18,adapt,1151
Jebel Ali,S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,VV,2025-03-02,adapt,792
Jebel Ali,S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,VV,2025-03-14,adapt,1470
Jebel Ali,S1A_IW_GRDH_1SDV_20250317T021545_20250317T021609_058338_073664_181C,VV,2025-03-17,adapt,650
Jebel Ali,S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,VV,2025-03-26,adapt,1109
Jebel Ali,S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,VV,2025-04-07,adapt,1161
Jebel Ali,S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,VV,2025-04-10,adapt,991
Jebel Ali,S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,VV,2025-04-19,adapt,885
Jebel Ali,S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,VV,2025-05-01,adapt,1171
Jebel Ali,S1A_IW_GRDH_1SDV_20250513T142506_20250513T142531_059177_0757CB_F25B,VV,2025-05-13,adapt,1253
Jebel Ali,S1A_IW_GRDH_1SDV_20250525T142506_20250525T142531_059352_075DD8_6C78,VV,2025-05-25,adapt,1253
Jebel Ali,S1A_IW_GRDH_1SDV_20250606T142505_20250606T142530_059527_0763E5_967B,VV,2025-06-06,adapt,1099
Jebel Ali,S1A_IW_GRDH_1SDV_20250609T021544_20250609T021608_059563_076513_C2E0,VV,2025-06-09,adapt,1034
Jebel Ali,S1A_IW_GRDH_1SDV_20250618T142504_20250618T142529_059702_0769DE_8658,VV,2025-06-18,adapt,1155
Jebel Ali,S1A_IW_GRDH_1SDV_20250621T021544_20250621T021607_059738_076B1D_2523,VV,2025-06-21,adapt,892
Jebel Ali,S1A_IW_GRDH_1SDV_20250630T142504_20250630T142529_059877_076FF7_ED71,VV,2025-06-30,adapt,1326
Jebel Ali,S1A_IW_GRDH_1SDV_20250715T021542_20250715T021606_060088_077739_3740,VV,2025-07-15,adapt,1026
Jebel Ali,S1A_IW_GRDH_1SDV_20250724T142503_20250724T142528_060227_077C09_9CBA,VV,2025-07-24,eval,1314
Jebel Ali,S1A_IW_GRDH_1SDV_20250805T142503_20250805T142528_060402_078207_9714,VV,2025-08-05,eval,1357
Jebel Ali,S1A_IW_GRDH_1SDV_20250817T142503_20250817T142528_060577_0788DF_80F4,VV,2025-08-17,eval,1376
Jebel Ali,S1A_IW_GRDH_1SDV_20250829T142503_20250829T142528_060752_078FC4_CDEA,VV,2025-08-29,eval,1265
Jebel Ali,S1A_IW_GRDH_1SDV_20250901T021542_20250901T021605_060788_07912C_0086,VV,2025-09-01,eval,1059
Jebel Ali,S1A_IW_GRDH_1SDV_20250910T142503_20250910T142528_060927_0796BD_18EC,VV,2025-09-10,eval,1280
Jebel Ali,S1A_IW_GRDH_1SDV_20250922T142504_20250922T142529_061102_079DC2_7207,VV,2025-09-22,eval,1219
Jebel Ali,S1A_IW_GRDH_1SDV_20250925T021543_20250925T021606_061138_079F34_4E55,VV,2025-09-25,eval,904
Jebel Ali,S1A_IW_GRDH_1SDV_20251004T142503_20251004T142528_061277_07A4D4_B04D,VV,2025-10-04,eval,1095
Jebel Ali,S1A_IW_GRDH_1SDV_20251016T142504_20251016T142529_061452_07ABDD_BF78,VV,2025-10-16,eval,1388
Jebel Ali,S1A_IW_GRDH_1SDV_20251028T142503_20251028T142528_061627_07B2E5_AF8B,VV,2025-10-28,eval,1283
