fold,product_id,object_id,added_class,tier,t1_status,t2_status,t1_mmsi,t2_mmsi,t1_distance_m,t1_abs_dt_s,already_in_frozen
Rotterdam,S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,"S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A|VH|[5888, 12032]|det_00114",dredger,A2,no_candidate,unique_candidate,,370909000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,"S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A|VV|[9984, 9984]|det_00001",product_chemical_tanker,A2,unique_candidate,unique_candidate,477257400,477257400,67.38148260028964,20.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VH|[5888, 5888]|det_00017",tug_towing,A2,unique_candidate,ambiguous,377484000,,42.51733262748431,129.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VH|[5888, 12032]|det_00000",tug_towing,A2,no_candidate,unique_candidate,,470144000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VH|[5888, 12032]|det_00004",tug_towing,A2,unique_candidate,unique_candidate,470144000,470144000,86.79900376478251,58.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VH|[7936, 14080]|det_00002",dredger,A2,no_candidate,unique_candidate,,246351000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VH|[7936, 18176]|det_00032",tug_towing,A2,unique_candidate,ambiguous,235073785,,60.66887220745971,176.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VV|[5888, 12032]|det_00000",tug_towing,A2,no_candidate,unique_candidate,,470144000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VV|[5888, 12032]|det_00009",tug_towing,A2,unique_candidate,unique_candidate,470144000,470144000,68.8089757469607,58.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VV|[20224, 1792]|det_00013",product_chemical_tanker,A2,no_candidate,unique_candidate,,750921000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VV|[20224, 3840]|det_00005",tug_towing,A2,no_candidate,unique_candidate,,422080500,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,"S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089|VV|[20224, 3840]|det_00011",tug_towing,A2,no_candidate,unique_candidate,,422080500,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,"S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA|VH|[12032, 9984]|det_00005",tug_towing,A2,unique_candidate,unique_candidate,249064000,249064000,26.02993314721134,48.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,"S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA|VV|[12032, 9984]|det_00000",tug_towing,A2,no_candidate,unique_candidate,,249064000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,"S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA|VV|[12032, 9984]|det_00003",tug_towing,A2,unique_candidate,unique_candidate,249064000,249064000,8.892890079587621,48.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[5888, 16128]|det_00005",tug_towing,A2,unique_candidate,unique_candidate,470413000,470413000,91.79713927688219,43.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[7936, 9984]|det_00014",tug_towing,A2,no_candidate,unique_candidate,,470815000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[7936, 16128]|det_00031",tug_towing,A2,unique_candidate,unique_candidate,235073785,235073785,52.85668825172615,22.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[9984, 12032]|det_00004",tug_towing,A2,unique_candidate,unique_candidate,370023000,370023000,113.82581023562331,9.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[9984, 14080]|det_00001",tug_towing,A2,unique_candidate,unique_candidate,408815000,408815000,105.126188451749,178.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[14080, 7936]|det_00040",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[14080, 7936]|det_00091",product_chemical_tanker,A2,unique_candidate,unique_candidate,750921000,750921000,93.17458787161442,32.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[14080, 9984]|det_00124",tug_towing,A2,no_candidate,unique_candidate,,341197001,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[14080, 9984]|det_00167",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[16128, 7936]|det_00045",tug_towing,A2,unique_candidate,unique_candidate,312019000,312019000,104.71388203734539,97.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[16128, 7936]|det_00075",tug_towing,A2,no_candidate,unique_candidate,,341197001,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[22272, 1792]|det_00007",dredger,A2,no_candidate,unique_candidate,,253533000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[22272, 3840]|det_00006",dredger,A2,no_candidate,unique_candidate,,253533000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VH|[26368, 12032]|det_00009",tug_towing,A2,unique_candidate,ambiguous,470630000,,146.86373606289985,161.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[0, 7936]|det_00001",product_chemical_tanker,A2,no_candidate,unique_candidate,,477231600,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[5888, 16128]|det_00011",tug_towing,A2,unique_candidate,unique_candidate,470413000,470413000,64.56072362095499,43.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[5888, 16128]|det_00020",tug_towing,A2,no_candidate,unique_candidate,,245916000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[7936, 9984]|det_00017",tug_towing,A2,no_candidate,unique_candidate,,470815000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[7936, 9984]|det_00027",tug_towing,A2,unique_candidate,unique_candidate,470815000,470815000,74.94576940605917,3.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[7936, 16128]|det_00038",tug_towing,A2,no_candidate,unique_candidate,,235073785,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[7936, 16128]|det_00045",tug_towing,A2,no_candidate,unique_candidate,,235073785,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[9984, 14080]|det_00013",tug_towing,A2,unique_candidate,ambiguous,408883000,,64.84654015301294,9.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[12032, 14080]|det_00003",tug_towing,A2,unique_candidate,unique_candidate,408815000,408815000,79.84376079285433,178.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[12032, 14080]|det_00021",tug_towing,A2,unique_candidate,ambiguous,408883000,,86.87919002719852,9.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[14080, 7936]|det_00021",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[14080, 7936]|det_00086",tug_towing,A2,unique_candidate,unique_candidate,312019000,312019000,101.05850141993587,97.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[14080, 7936]|det_00093",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[14080, 7936]|det_00134",tug_towing,A2,no_candidate,unique_candidate,,341197001,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[18176, 3840]|det_00003",tug_towing,A2,unique_candidate,unique_candidate,422151000,422151000,108.34202633767198,100.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,"S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14|VV|[22272, 1792]|det_00016",dredger,A2,no_candidate,unique_candidate,,253533000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,"S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C|VV|[0, 5888]|det_00002",tug_towing,A2,no_candidate,unique_candidate,,422080500,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[5888, 16128]|det_00012",tug_towing,A2,unique_candidate,unique_candidate,235073785,235073785,54.53519345380055,105.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[7936, 14080]|det_00006",tug_towing,A2,unique_candidate,unique_candidate,564164000,564164000,51.64146087078546,11.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[14080, 7936]|det_00064",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[18176, 5888]|det_00008",dredger,A2,no_candidate,unique_candidate,,620999618,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[22272, 0]|det_00005",tug_towing,A2,no_candidate,unique_candidate,,376983000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[22272, 1792]|det_00008",dredger,A2,unique_candidate,unique_candidate,253533000,253533000,142.05798816663062,167.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[22272, 3840]|det_00025",dredger,A2,no_candidate,unique_candidate,,253533000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VH|[26368, 12032]|det_00026",tug_towing,A2,unique_candidate,unique_candidate,470511000,470511000,108.38808102650754,164.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[5888, 7936]|det_00016",tug_towing,A2,no_candidate,unique_candidate,,377484000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[5888, 18176]|det_00019",tug_towing,A2,unique_candidate,unique_candidate,235073785,235073785,105.25863485449105,45.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[9984, 12032]|det_00015",tug_towing,A2,unique_candidate,unique_candidate,370023000,370023000,37.50098518270354,7.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[9984, 14080]|det_00006",tug_towing,A2,unique_candidate,unique_candidate,408815000,408815000,28.303637266147987,143.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[9984, 14080]|det_00035",tug_towing,A2,unique_candidate,unique_candidate,408815000,408815000,139.57274286045006,67.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[14080, 7936]|det_00088",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[14080, 7936]|det_00113",product_chemical_tanker,A2,no_candidate,unique_candidate,,470976000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[18176, 5888]|det_00004",dredger,A2,unique_candidate,unique_candidate,620999617,620999617,128.48016098271057,37.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[18176, 5888]|det_00005",dredger,A2,unique_candidate,unique_candidate,620999618,620999618,135.51559147234434,58.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[22272, 0]|det_00005",tug_towing,A2,no_candidate,unique_candidate,,376983000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[22272, 1792]|det_00009",dredger,A2,unique_candidate,unique_candidate,253533000,253533000,128.8333035790143,167.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[22272, 3840]|det_00023",dredger,A2,no_candidate,unique_candidate,,253533000,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[26368, 12032]|det_00010",tug_towing,A2,unique_candidate,ambiguous,470511000,,116.01670036366794,94.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[26368, 12032]|det_00017",tug_towing,A2,no_candidate,unique_candidate,,470511000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,"S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425|VV|[26368, 12032]|det_00035",tug_towing,A2,unique_candidate,unique_candidate,470511000,470511000,114.26003847491098,164.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[1792, 16128]|det_00002",tug_towing,A2,no_candidate,unique_candidate,,408815000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[1792, 16128]|det_00015",tug_towing,A2,unique_candidate,unique_candidate,408815000,408815000,69.51400237205912,11.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[3840, 18176]|det_00032",tug_towing,A2,unique_candidate,unique_candidate,244650204,244650204,123.68843721759592,1.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[5888, 5888]|det_00011",tug_towing,A2,unique_candidate,ambiguous,377484000,,26.68033899836301,134.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[7936, 18176]|det_00020",tug_towing,A2,unique_candidate,ambiguous,246982000,,101.20967023013006,38.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[7936, 18176]|det_00094",tug_towing,A2,unique_candidate,ambiguous,246994000,,53.82371942483756,144.0,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[14080, 12032]|det_00049",tug_towing,A2,no_candidate,unique_candidate,,377395000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VH|[20224, 5888]|det_00023",tug_towing,A2,no_candidate,unique_candidate,,232052052,,,1
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VV|[1792, 16128]|det_00003",tug_towing,A2,no_candidate,unique_candidate,,408815000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VV|[3840, 18176]|det_00029",tug_towing,A2,unique_candidate,unique_candidate,244650204,244650204,87.21779384192772,1.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VV|[5888, 5888]|det_00006",tug_towing,A2,unique_candidate,ambiguous,377484000,,31.86681509539075,108.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VV|[12032, 7936]|det_00021",tug_towing,A2,no_candidate,unique_candidate,,408883000,,,0
Rotterdam,S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,"S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C|VV|[12032, 7936]|det_00034",tug_towing,A2,unique_candidate,unique_candidate,408883000,408883000,40.74540043009457,100.0,1
Rotterdam,S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,"S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955|VH|[9984, 5888]|det_00000",product_chemical_tanker,A2,unique_candidate,unique_candidate,477123100,477123100,79.59066336340668,128.0,1
