product_id,needed,have,missing
S1A_IW_GRDH_1SDV_20250109T181825_20250109T181850_057371_070FA1_4EBA,4,4,
S1A_IW_GRDH_1SDV_20250109T190756_20250109T190821_057371_070FA6_03D6,2,1,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250110T225610_20250110T225635_057388_07104B_6663,4,4,
S1A_IW_GRDH_1SDV_20250111T020733_20250111T020758_057390_07105F_79C6,2,2,
S1A_IW_GRDH_1SDV_20250112T055841_20250112T055906_057407_07110D_854D,4,4,
S1A_IW_GRDH_1SDV_20250112T193337_20250112T193402_057415_071168_C6F7,4,4,
S1A_IW_GRDH_1SDV_20250113T142508_20250113T142533_057427_0711E2_2089,2,2,
S1A_IW_GRDH_1SDV_20250114T001852_20250114T001917_057433_071219_8343,4,4,
S1A_IW_GRDH_1SDV_20250114T054132_20250114T054157_057436_071233_1FC3,4,4,
S1A_IW_GRDH_1SDV_20250114T163007_20250114T163032_057442_071276_6294,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250115T153906_20250115T153935_057456_071303_0ED7,1,1,
S1A_IW_GRDH_1SDV_20250115T173330_20250115T173355_057458_07130D_51CB,4,4,
S1A_IW_GRDH_1SDV_20250115T213201_20250115T213230_057460_07132B_20B1,4,4,
S1A_IW_GRDH_1SDV_20250116T035238_20250116T035303_057464_07134F_1217,2,2,
S1A_IW_GRDH_1SDV_20250116T095440_20250116T095505_057468_071372_AF77,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250116T095505_20250116T095530_057468_071372_4E24,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250117T224812_20250117T224837_057490_071459_C3D3,2,2,
S1A_IW_GRDH_1SDV_20250118T225101_20250118T225126_057505_0714F2_11E5,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250118T225126_20250118T225151_057505_0714F2_D385,4,4,
S1A_IW_GRDH_1SDV_20250119T002647_20250119T002712_057506_0714FA_749A,2,2,
S1A_IW_GRDH_1SDV_20250120T083111_20250120T083140_057525_0715BC_0DCC,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250120T092324_20250120T092353_057526_0715C5_2B53,4,4,
S1A_IW_GRDH_1SDV_20250120T141655_20250120T141720_057529_0715E8_27AA,2,2,
S1A_IW_GRDH_1SDV_20250121T015031_20250121T015056_057536_071629_5651,2,2,
S1A_IW_GRDH_1SDV_20250121T113411_20250121T113436_057542_071671_74FC,4,4,
S1A_IW_GRDH_1SDV_20250121T181824_20250121T181849_057546_071696_A7B0,4,4,
S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,4,3,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250123T020732_20250123T020757_057565_071752_13CF,2,2,
S1A_IW_GRDH_1SDV_20250124T105814_20250124T105834_057585_071822_5A7F,2,2,
S1A_IW_GRDH_1SDV_20250125T142507_20250125T142532_057602_0718D6_9C14,2,2,
S1A_IW_GRDH_1SDV_20250126T015819_20250126T015848_057609_071912_0A2E,4,3,ESA_WorldCover_10m_2021_v200_N30W123_Map.tif
S1A_IW_GRDH_1SDV_20250126T054132_20250126T054157_057611_071924_C45B,4,4,
S1A_IW_GRDH_1SDV_20250126T122315_20250126T122344_057615_071953_D83D,4,4,
S1A_IW_GRDH_1SDV_20250126T163006_20250126T163031_057617_07196D_D3E1,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,4,4,
S1A_IW_GRDH_1SDV_20250127T062757_20250127T062822_057626_0719BE_BA8D,4,4,
S1A_IW_GRDH_1SDV_20250127T153906_20250127T153935_057631_0719FF_8570,1,1,
S1A_IW_GRDH_1SDV_20250127T213201_20250127T213230_057635_071A27_9C67,4,4,
S1A_IW_GRDH_1SDV_20250128T035237_20250128T035302_057639_071A49_FAE9,2,2,
S1A_IW_GRDH_1SDV_20250128T095439_20250128T095504_057643_071A6C_DBE3,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250128T095504_20250128T095529_057643_071A6C_34AC,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250128T095619_20250128T095644_057643_071A6C_C629,4,4,
S1A_IW_GRDH_1SDV_20250128T103938_20250128T104003_057643_071A72_02D2,4,4,
S1A_IW_GRDH_1SDV_20250129T083936_20250129T084001_057656_071AFA_59EF,4,4,
S1A_IW_GRDH_1SDV_20250129T110621_20250129T110654_057658_071B0A_F775,4,4,
S1A_IW_GRDH_1SDV_20250129T224811_20250129T224836_057665_071B4B_D8BB,2,2,
S1A_IW_GRDH_1SDV_20250129T233426_20250129T233451_057665_071B50_8CBB,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250130T225125_20250130T225150_057680_071BE3_C852,4,4,
S1A_IW_GRDH_1SDV_20250201T083110_20250201T083139_057700_071CAB_B664,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250201T092323_20250201T092352_057701_071CB4_BA9E,4,4,
S1A_IW_GRDH_1SDV_20250201T141654_20250201T141719_057704_071CD3_8E9C,2,2,
S1A_IW_GRDH_1SDV_20250202T015031_20250202T015056_057711_071D19_3CD7,2,2,
S1A_IW_GRDH_1SDV_20250202T113410_20250202T113435_057717_071D5E_E321,4,4,
S1A_IW_GRDH_1SDV_20250202T135247_20250202T135312_057718_071D69_2EC7,4,4,
S1A_IW_GRDH_1SDV_20250202T181824_20250202T181849_057721_071D83_5D9E,4,4,
S1A_IW_GRDH_1SDV_20250204T020731_20250204T020756_057740_071E3C_28EA,2,2,
S1A_IW_GRDH_1SDV_20250205T105757_20250205T105822_057760_071F0A_1798,2,2,
S1A_IW_GRDH_1SDV_20250205T170921_20250205T170946_057764_071F35_349C,4,4,
S1A_IW_GRDH_1SDV_20250206T142506_20250206T142531_057777_071FC4_4425,2,2,
S1A_IW_GRDH_1SDV_20250207T015819_20250207T015848_057784_072001_AE81,4,3,ESA_WorldCover_10m_2021_v200_N30W123_Map.tif
S1A_IW_GRDH_1SDV_20250207T054131_20250207T054156_057786_072012_0A84,4,4,
S1A_IW_GRDH_1SDV_20250207T163006_20250207T163031_057792_072059_C1D9,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250207T191539_20250207T191604_057794_07206C_D215,4,4,
S1A_IW_GRDH_1SDV_20250208T153905_20250208T153934_057806_0720E1_8042,1,1,
S1A_IW_GRDH_1SDV_20250208T213200_20250208T213229_057810_07210A_0C2C,4,4,
S1A_IW_GRDH_1SDV_20250209T035237_20250209T035302_057814_072130_64A2,2,2,
S1A_IW_GRDH_1SDV_20250209T095439_20250209T095504_057818_072156_8334,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250209T095504_20250209T095529_057818_072156_B9C4,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250209T095619_20250209T095644_057818_072156_A282,4,4,
S1A_IW_GRDH_1SDV_20250209T112536_20250209T112601_057818_072161_EAB2,2,2,
S1A_IW_GRDH_1SDV_20250210T083936_20250210T084001_057831_0721ED_9A30,4,4,
S1A_IW_GRDH_1SDV_20250210T110620_20250210T110638_057833_0721FE_F63B,2,2,
S1A_IW_GRDH_1SDV_20250210T224811_20250210T224836_057840_072244_0469,2,2,
S1A_IW_GRDH_1SDV_20250210T233426_20250210T233451_057840_072249_154C,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250211T225124_20250211T225149_057855_0722DE_D48F,4,4,
S1A_IW_GRDH_1SDV_20250212T002646_20250212T002711_057856_0722E6_46C3,2,2,
S1A_IW_GRDH_1SDV_20250213T083110_20250213T083139_057875_0723AA_0832,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250213T092323_20250213T092352_057876_0723B2_676F,4,4,
S1A_IW_GRDH_1SDV_20250214T113410_20250214T113435_057892_07245F_4349,4,4,
S1A_IW_GRDH_1SDV_20250214T181823_20250214T181848_057896_072485_312B,4,4,
S1A_IW_GRDH_1SDV_20250214T190729_20250214T190754_057896_07248A_7E78,4,3,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250214T190754_20250214T190819_057896_07248A_4BF0,2,1,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250216T020731_20250216T020756_057915_072546_6998,2,2,
S1A_IW_GRDH_1SDV_20250217T055839_20250217T055904_057932_0725F5_9F4A,4,4,
S1A_IW_GRDH_1SDV_20250217T105813_20250217T105849_057935_072615_24F8,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250217T193335_20250217T193400_057940_072653_7401,4,4,
S1A_IW_GRDH_1SDV_20250218T142506_20250218T142531_057952_0726CE_AB2C,2,2,
S1A_IW_GRDH_1SDV_20250219T054130_20250219T054155_057961_07271A_E786,4,4,
S1A_IW_GRDH_1SDV_20250219T163005_20250219T163030_057967_072761_83D0,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250219T182624_20250219T182649_057969_07276B_575F,4,4,
S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,4,4,
S1A_IW_GRDH_1SDV_20250220T153905_20250220T153934_057981_0727FE_BF71,1,1,
S1A_IW_GRDH_1SDV_20250220T154857_20250220T154922_057982_0727FF_3573,2,2,
S1A_IW_GRDH_1SDV_20250220T173328_20250220T173353_057983_07280A_D019,4,4,
S1A_IW_GRDH_1SDV_20250220T213200_20250220T213229_057985_072826_A07F,4,4,
S1A_IW_GRDH_1SDV_20250221T035236_20250221T035301_057989_07284C_FEC9,2,2,
S1A_IW_GRDH_1SDV_20250221T095438_20250221T095503_057993_072873_AE0F,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250221T095503_20250221T095528_057993_072873_214C,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250221T112535_20250221T112600_057993_07287C_987F,2,2,
S1A_IW_GRDH_1SDV_20250222T083933_20250222T083958_058006_072907_4A35,4,4,
S1A_IW_GRDH_1SDV_20250222T224810_20250222T224835_058015_072961_178E,2,2,
S1A_IW_GRDH_1SDV_20250222T233426_20250222T233451_058015_072966_258C,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250223T225059_20250223T225124_058030_0729FF_D88B,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250223T225124_20250223T225149_058030_0729FF_0142,4,4,
S1A_IW_GRDH_1SDV_20250225T083109_20250225T083138_058050_072ACF_F870,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250225T092323_20250225T092352_058051_072AD7_32C8,4,4,
S1A_IW_GRDH_1SDV_20250225T141654_20250225T141719_058054_072AFB_9955,2,2,
S1A_IW_GRDH_1SDV_20250226T104756_20250226T104817_058066_072B73_87CC,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250226T113410_20250226T113435_058067_072B78_D03A,4,4,
S1A_IW_GRDH_1SDV_20250226T181823_20250226T181848_058071_072B9C_18AC,4,4,
S1A_IW_GRDH_1SDV_20250227T225608_20250227T225633_058088_072C54_63A1,4,4,
S1A_IW_GRDH_1SDV_20250228T020730_20250228T020755_058090_072C68_CF5E,2,2,
S1A_IW_GRDH_1SDV_20250301T105812_20250301T105846_058110_072D32_F0B5,4,3,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250301T193335_20250301T193400_058115_072D72_2009,4,4,
S1A_IW_GRDH_1SDV_20250302T142506_20250302T142531_058127_072DF2_C32F,2,2,
S1A_IW_GRDH_1SDV_20250303T054130_20250303T054155_058136_072E47_AB21,4,4,
S1A_IW_GRDH_1SDV_20250303T163005_20250303T163030_058142_072E91_AE2F,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250303T191539_20250303T191604_058144_072EA3_ADB5,4,4,
S1A_IW_GRDH_1SDV_20250303T191604_20250303T191629_058144_072EA3_2821,2,2,
S1A_IW_GRDH_1SDV_20250304T153905_20250304T153934_058156_072F2C_718F,1,1,
S1A_IW_GRDH_1SDV_20250304T173328_20250304T173353_058158_072F3A_33A2,4,4,
S1A_IW_GRDH_1SDV_20250304T213200_20250304T213229_058160_072F54_672D,4,4,
S1A_IW_GRDH_1SDV_20250305T035236_20250305T035301_058164_072F78_0122,2,2,
S1A_IW_GRDH_1SDV_20250305T095438_20250305T095503_058168_072F9F_26D6,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250305T095503_20250305T095528_058168_072F9F_357A,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250306T110620_20250306T110637_058183_073047_BFF9,2,2,
S1A_IW_GRDH_1SDV_20250306T224811_20250306T224836_058190_07308D_CDA9,2,2,
S1A_IW_GRDH_1SDV_20250306T233426_20250306T233451_058190_073092_1CD5,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250307T225059_20250307T225124_058205_073125_0F4B,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250307T225124_20250307T225149_058205_073125_307F,4,4,
S1A_IW_GRDH_1SDV_20250309T083110_20250309T083139_058225_0731F2_0C8F,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250309T092323_20250309T092352_058226_0731FA_4097,4,4,
S1A_IW_GRDH_1SDV_20250309T155659_20250309T155724_058230_073226_5071,4,4,
S1A_IW_GRDH_1SDV_20250310T015010_20250310T015039_058236_07325B_1D4B,4,4,
S1A_IW_GRDH_1SDV_20250310T113410_20250310T113435_058242_07329D_6109,4,4,
S1A_IW_GRDH_1SDV_20250310T135247_20250310T135312_058243_0732A8_4A9D,4,4,
S1A_IW_GRDH_1SDV_20250310T181823_20250310T181848_058246_0732C2_FF62,4,4,
S1A_IW_GRDH_1SDV_20250310T190754_20250310T190819_058246_0732C7_AA66,2,1,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250312T020730_20250312T020755_058265_07337F_A31A,2,2,
S1A_IW_GRDH_1SDV_20250313T170920_20250313T170945_058289_073479_0114,4,4,
S1A_IW_GRDH_1SDV_20250313T193335_20250313T193400_058290_073489_FC86,4,4,
S1A_IW_GRDH_1SDV_20250314T142506_20250314T142531_058302_073505_F8D8,2,2,
S1A_IW_GRDH_1SDV_20250315T054131_20250315T054156_058311_073551_D931,4,4,
S1A_IW_GRDH_1SDV_20250315T122314_20250315T122344_058315_07357B_31CC,4,4,
S1A_IW_GRDH_1SDV_20250315T163005_20250315T163030_058317_073594_4C82,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250315T182624_20250315T182649_058319_07359F_C0C6,4,4,
S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,4,4,
S1A_IW_GRDH_1SDV_20250316T062756_20250316T062821_058326_0735E5_8376,4,4,
S1A_IW_GRDH_1SDV_20250316T153905_20250316T153934_058331_073622_85D9,1,1,
S1A_IW_GRDH_1SDV_20250316T213200_20250316T213229_058335_07364B_3EA6,4,4,
S1A_IW_GRDH_1SDV_20250317T021545_20250317T021609_058338_073664_181C,2,2,
S1A_IW_GRDH_1SDV_20250317T035236_20250317T035301_058339_07366E_1A19,2,2,
S1A_IW_GRDH_1SDV_20250317T095439_20250317T095504_058343_073693_582B,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250317T095504_20250317T095529_058343_073693_3B7B,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250317T095619_20250317T095644_058343_073693_570A,4,4,
S1A_IW_GRDH_1SDV_20250317T103937_20250317T104002_058343_073699_CE68,4,4,
S1A_IW_GRDH_1SDV_20250317T112535_20250317T112600_058343_07369C_6DC4,2,2,
S1A_IW_GRDH_1SDV_20250318T224811_20250318T224836_058365_073771_B1C2,2,2,
S1A_IW_GRDH_1SDV_20250318T233426_20250318T233451_058365_073776_DDEB,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250319T225100_20250319T225125_058380_07380A_8C0D,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250320T002647_20250320T002712_058381_073815_5A57,2,2,
S1A_IW_GRDH_1SDV_20250321T083110_20250321T083139_058400_0738DE_969C,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250321T092323_20250321T092353_058401_0738E7_6FBD,4,4,
S1A_IW_GRDH_1SDV_20250321T141654_20250321T141719_058404_07390A_3A64,2,2,
S1A_IW_GRDH_1SDV_20250322T113410_20250322T113435_058417_073988_01D3,4,4,
S1A_IW_GRDH_1SDV_20250324T020731_20250324T020756_058440_073A69_7DD8,2,2,
S1A_IW_GRDH_1SDV_20250325T105812_20250325T105846_058460_073B2F_61F0,4,3,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250325T170920_20250325T170945_058464_073B5B_1515,4,4,
S1A_IW_GRDH_1SDV_20250325T193334_20250325T193359_058465_073B6C_8C9E,4,4,
S1A_IW_GRDH_1SDV_20250326T142506_20250326T142531_058477_073BE1_A5C1,2,2,
S1A_IW_GRDH_1SDV_20250327T015818_20250327T015847_058484_073C21_AD9F,4,3,ESA_WorldCover_10m_2021_v200_N30W123_Map.tif
S1A_IW_GRDH_1SDV_20250327T163005_20250327T163030_058492_073C79_EAA7,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250327T191539_20250327T191604_058494_073C8A_36AD,4,4,
S1A_IW_GRDH_1SDV_20250328T153905_20250328T153934_058506_073D15_583F,1,1,
S1A_IW_GRDH_1SDV_20250328T213200_20250328T213229_058510_073D3F_6A48,4,4,
S1A_IW_GRDH_1SDV_20250329T035237_20250329T035302_058514_073D64_CAB2,2,2,
S1A_IW_GRDH_1SDV_20250329T095439_20250329T095504_058518_073D8B_8B71,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250329T095504_20250329T095529_058518_073D8B_ABE6,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250329T095619_20250329T095644_058518_073D8B_5302,4,4,
S1A_IW_GRDH_1SDV_20250330T224811_20250330T224836_058540_073E75_9F1A,2,2,
S1A_IW_GRDH_1SDV_20250330T233426_20250330T233451_058540_073E7A_22ED,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250401T002647_20250401T002712_058556_073F16_5FFE,2,2,
S1A_IW_GRDH_1SDV_20250402T083110_20250402T083139_058575_073FE2_F955,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250402T092324_20250402T092353_058576_073FEB_7D50,4,4,
S1A_IW_GRDH_1SDV_20250403T113411_20250403T113436_058592_074094_A226,4,4,
S1A_IW_GRDH_1SDV_20250403T181824_20250403T181849_058596_0740B9_6C11,4,4,
S1A_IW_GRDH_1SDV_20250403T190755_20250403T190820_058596_0740BE_F406,2,1,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250405T020731_20250405T020756_058615_074181_D494,2,2,
S1A_IW_GRDH_1SDV_20250406T193335_20250406T193400_058640_074290_9E86,4,4,
S1A_IW_GRDH_1SDV_20250407T142506_20250407T142531_058652_07430E_28DD,2,2,
S1A_IW_GRDH_1SDV_20250408T001851_20250408T001916_058658_074342_D9EF,4,4,
S1A_IW_GRDH_1SDV_20250408T054131_20250408T054156_058661_07435E_D6DA,4,4,
S1A_IW_GRDH_1SDV_20250408T163006_20250408T163031_058667_0743A6_83AA,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250409T153905_20250409T153934_058681_07443C_311D,1,1,
S1A_IW_GRDH_1SDV_20250409T154858_20250409T154923_058682_07443D_5848,2,2,
S1A_IW_GRDH_1SDV_20250409T173329_20250409T173354_058683_07444B_FA8B,4,4,
S1A_IW_GRDH_1SDV_20250409T213200_20250409T213229_058685_074467_4EAE,4,4,
S1A_IW_GRDH_1SDV_20250410T021545_20250410T021609_058688_074483_D3BC,2,2,
S1A_IW_GRDH_1SDV_20250410T035237_20250410T035302_058689_07448D_74DC,2,2,
S1A_IW_GRDH_1SDV_20250410T095439_20250410T095504_058693_0744B4_AF10,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250410T095504_20250410T095529_058693_0744B4_6BB7,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250410T095619_20250410T095644_058693_0744B4_726C,4,4,
S1A_IW_GRDH_1SDV_20250411T110623_20250411T110651_058708_07455A_7BDF,2,2,
S1A_IW_GRDH_1SDV_20250411T224811_20250411T224836_058715_07459E_9525,2,2,
S1A_IW_GRDH_1SDV_20250411T233426_20250411T233451_058715_0745A3_27EC,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250412T225100_20250412T225125_058730_07463B_EB61,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250412T225125_20250412T225150_058730_07463B_CA15,4,4,
S1A_IW_GRDH_1SDV_20250414T083110_20250414T083139_058750_074712_68ED,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250414T092323_20250414T092352_058751_07471B_DBA9,4,4,
S1A_IW_GRDH_1SDV_20250415T113410_20250415T113435_058767_0747BF_1003,4,4,
S1A_IW_GRDH_1SDV_20250415T190729_20250415T190754_058771_0747E9_CE61,4,3,ESA_WorldCover_10m_2021_v200_S36E153_Map.tif
S1A_IW_GRDH_1SDV_20250417T020731_20250417T020756_058790_0748A7_6818,2,2,
S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,4,4,
S1A_IW_GRDH_1SDV_20250418T105757_20250418T105822_058810_07497C_BD3F,2,2,
S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,4,4,
S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,2,2,
S1A_IW_GRDH_1SDV_20250420T015819_20250420T015848_058834_074A74_AE36,4,3,ESA_WorldCover_10m_2021_v200_N30W123_Map.tif
S1A_IW_GRDH_1SDV_20250420T054131_20250420T054156_058836_074A88_B1D7,4,4,
S1A_IW_GRDH_1SDV_20250420T163006_20250420T163031_058842_074ACD_73DF,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,1,1,
S1A_IW_GRDH_1SDV_20250421T213201_20250421T213230_058860_074B91_9CF7,4,4,
S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,2,2,
S1A_IW_GRDH_1SDV_20250422T095439_20250422T095504_058868_074BDE_FA37,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,4,4,
S1A_IW_GRDH_1SDV_20250423T110623_20250423T110652_058883_074C83_7063,2,2,
